,Alphas,Layers,Solvers,R2
294,0.001,"(10, 2, 10)",lbfgs,0.14399348634414932
295,0.001,"(10, 2, 10)",adam,0.1405659572692627
296,0.001,"(10, 2, 10)",sgd,-0.0001124739333404623
297,0.001,"(10, 2, 20)",lbfgs,0.1473469099249729
298,0.001,"(10, 2, 20)",adam,0.13694828744022702
299,0.001,"(10, 2, 20)",sgd,0.1349919114466558
300,0.001,"(10, 5, 2)",lbfgs,-7.473225987242316e-05
301,0.001,"(10, 5, 2)",adam,0.1321986586878503
302,0.001,"(10, 5, 2)",sgd,0.036824549285829344
303,0.001,"(10, 5, 5)",lbfgs,0.13863591611783
304,0.001,"(10, 5, 5)",adam,0.13293946757431374
305,0.001,"(10, 5, 5)",sgd,0.0440464993223697
306,0.001,"(10, 5, 10)",lbfgs,0.14077945775105494
307,0.001,"(10, 5, 10)",adam,0.1373183955859395
308,0.001,"(10, 5, 10)",sgd,0.037803766018680296
309,0.001,"(10, 5, 20)",lbfgs,0.13878393313628223
310,0.001,"(10, 5, 20)",adam,0.13809416291088328
311,0.001,"(10, 5, 20)",sgd,0.024865643994534392
312,0.001,"(10, 10, 2)",lbfgs,0.14303697041996222
313,0.001,"(10, 10, 2)",adam,0.14420429411820113
314,0.001,"(10, 10, 2)",sgd,0.11774182190167937
315,0.001,"(10, 10, 5)",lbfgs,0.14064985519734552
316,0.001,"(10, 10, 5)",adam,0.14291951582300988
317,0.001,"(10, 10, 5)",sgd,0.0744189016394533
318,0.001,"(10, 10, 10)",lbfgs,0.13356238936229736
319,0.001,"(10, 10, 10)",adam,0.13703418988764082
320,0.001,"(10, 10, 10)",sgd,0.041014271620153586
321,0.001,"(10, 10, 20)",lbfgs,0.14317692876458576
322,0.001,"(10, 10, 20)",adam,0.14027580199265122
323,0.001,"(10, 10, 20)",sgd,0.07913805496913051
324,0.001,"(10, 20, 2)",lbfgs,-7.473224275234003e-05
325,0.001,"(10, 20, 2)",adam,0.14278369990152262
326,0.001,"(10, 20, 2)",sgd,0.11572079358994658
327,0.001,"(10, 20, 5)",lbfgs,0.1393556038310434
328,0.001,"(10, 20, 5)",adam,0.13517178340210212
329,0.001,"(10, 20, 5)",sgd,0.04252609766387794
330,0.001,"(10, 20, 10)",lbfgs,0.1313077400984881
331,0.001,"(10, 20, 10)",adam,0.14066751348684858
332,0.001,"(10, 20, 10)",sgd,0.10385437057833202
333,0.001,"(10, 20, 20)",lbfgs,0.12952734515116693
334,0.001,"(10, 20, 20)",adam,0.1449739594538274
335,0.001,"(10, 20, 20)",sgd,0.12574597046171532
336,0.001,"(20, 2, 2)",lbfgs,0.14266778510206124
337,0.001,"(20, 2, 2)",adam,0.14104494322707684
338,0.001,"(20, 2, 2)",sgd,-0.0005586655688099018
339,0.001,"(20, 2, 5)",lbfgs,0.1363614998159346
340,0.001,"(20, 2, 5)",adam,0.11666744822188857
341,0.001,"(20, 2, 5)",sgd,0.07258656969633193
342,0.001,"(20, 2, 10)",lbfgs,0.13039184295321493
343,0.001,"(20, 2, 10)",adam,0.13273495726881046
344,0.001,"(20, 2, 10)",sgd,0.14087567605591222
345,0.001,"(20, 2, 20)",lbfgs,0.13407636495058384
346,0.001,"(20, 2, 20)",adam,0.14093353186487867
347,0.001,"(20, 2, 20)",sgd,-5.379589331799828e-05
348,0.001,"(20, 5, 2)",lbfgs,0.12964817755711466
349,0.001,"(20, 5, 2)",adam,0.01695328185759004
350,0.001,"(20, 5, 2)",sgd,-0.0001140544083035877
351,0.001,"(20, 5, 5)",lbfgs,0.12242600308187845
352,0.001,"(20, 5, 5)",adam,0.14660367106505023
353,0.001,"(20, 5, 5)",sgd,0.11076382389550077
354,0.001,"(20, 5, 10)",lbfgs,0.14092686647548847
355,0.001,"(20, 5, 10)",adam,0.13792936692769464
356,0.001,"(20, 5, 10)",sgd,-9.297958947662721e-06
357,0.001,"(20, 5, 20)",lbfgs,0.1284130666368848
358,0.001,"(20, 5, 20)",adam,0.14377068381144098
359,0.001,"(20, 5, 20)",sgd,0.020049093587111377
360,0.001,"(20, 10, 2)",lbfgs,0.1386410528821761
361,0.001,"(20, 10, 2)",adam,-0.002652231573405439
362,0.001,"(20, 10, 2)",sgd,0.09791141921004987
363,0.001,"(20, 10, 5)",lbfgs,0.1313716084083869
364,0.001,"(20, 10, 5)",adam,0.14105082797179225
365,0.001,"(20, 10, 5)",sgd,0.12802605347888285
366,0.001,"(20, 10, 10)",lbfgs,0.12753373451855898
367,0.001,"(20, 10, 10)",adam,0.14193164281144355
368,0.001,"(20, 10, 10)",sgd,0.03161499863063533
369,0.001,"(20, 10, 20)",lbfgs,0.11558314290299199
370,0.001,"(20, 10, 20)",adam,0.14578300975649494
371,0.001,"(20, 10, 20)",sgd,0.11927679083693099
372,0.001,"(20, 20, 2)",lbfgs,-7.473241031319411e-05
373,0.001,"(20, 20, 2)",adam,0.14841761910242846
374,0.001,"(20, 20, 2)",sgd,0.1055576650541511
375,0.001,"(20, 20, 5)",lbfgs,0.11902076004014384
376,0.001,"(20, 20, 5)",adam,0.13679031100326433
377,0.001,"(20, 20, 5)",sgd,0.04775140165733571
378,0.001,"(20, 20, 10)",lbfgs,0.12974769880549897
379,0.001,"(20, 20, 10)",adam,0.14599445479707462
380,0.001,"(20, 20, 10)",sgd,0.11163312588969254
381,0.001,"(20, 20, 20)",lbfgs,0.13402081670697463
382,0.001,"(20, 20, 20)",adam,0.13970779349929274
383,0.001,"(20, 20, 20)",sgd,0.12316716398725114
384,0.1,"(2, 2, 2)",lbfgs,0.13268283052582663
385,0.1,"(2, 2, 2)",adam,0.1264048469467326
386,0.1,"(2, 2, 2)",sgd,-0.00015334458112503668
387,0.1,"(2, 2, 5)",lbfgs,-7.473509578082016e-05
388,0.1,"(2, 2, 5)",adam,0.12761940554119344
389,0.1,"(2, 2, 5)",sgd,0.052093557873229446
390,0.1,"(2, 2, 10)",lbfgs,0.15103448936228925
391,0.1,"(2, 2, 10)",adam,0.13010427955513548
392,0.1,"(2, 2, 10)",sgd,0.0979179760761546
393,0.1,"(2, 2, 20)",lbfgs,0.1256820629291856
394,0.1,"(2, 2, 20)",adam,0.13192472442656333
395,0.1,"(2, 2, 20)",sgd,-0.00012649195328418017
396,0.1,"(2, 5, 2)",lbfgs,0.14421517666181083
397,0.1,"(2, 5, 2)",adam,0.130740629016584
398,0.1,"(2, 5, 2)",sgd,0.06115058476486335
399,0.1,"(2, 5, 5)",lbfgs,0.13762670433997315
400,0.1,"(2, 5, 5)",adam,0.13466177422819503
401,0.1,"(2, 5, 5)",sgd,0.13555730167543234
402,0.1,"(2, 5, 10)",lbfgs,0.14798683109743083
403,0.1,"(2, 5, 10)",adam,0.13335841343169885
404,0.1,"(2, 5, 10)",sgd,0.06921551034573548
405,0.1,"(2, 5, 20)",lbfgs,0.1384620660334348
406,0.1,"(2, 5, 20)",adam,0.13251890408509548
407,0.1,"(2, 5, 20)",sgd,0.03152461821560326
408,0.1,"(2, 10, 2)",lbfgs,0.1386718308596776
409,0.1,"(2, 10, 2)",adam,0.094152663460639
410,0.1,"(2, 10, 2)",sgd,0.054985514050738815
411,0.1,"(2, 10, 5)",lbfgs,0.14039414582204401
412,0.1,"(2, 10, 5)",adam,0.13458501576053927
413,0.1,"(2, 10, 5)",sgd,0.1350136618159954
414,0.1,"(2, 10, 10)",lbfgs,0.13860340180486075
415,0.1,"(2, 10, 10)",adam,0.13042434500890188
416,0.1,"(2, 10, 10)",sgd,0.029044193111011807
417,0.1,"(2, 10, 20)",lbfgs,0.13561909043912868
418,0.1,"(2, 10, 20)",adam,0.1370238754922235
419,0.1,"(2, 10, 20)",sgd,-9.690866013145616e-05
420,0.1,"(2, 20, 2)",lbfgs,0.14121501885205556
421,0.1,"(2, 20, 2)",adam,0.13365413780724333
422,0.1,"(2, 20, 2)",sgd,-9.691574055681329e-05
423,0.1,"(2, 20, 5)",lbfgs,0.13968419908200957
424,0.1,"(2, 20, 5)",adam,0.1374631430534412
425,0.1,"(2, 20, 5)",sgd,-9.828355169472225e-05
426,0.1,"(2, 20, 10)",lbfgs,0.13944962211380707
427,0.1,"(2, 20, 10)",adam,0.1322482687130454
428,0.1,"(2, 20, 10)",sgd,0.11673417533515873
429,0.1,"(2, 20, 20)",lbfgs,0.14016117434709163
430,0.1,"(2, 20, 20)",adam,0.13437456062033237
431,0.1,"(2, 20, 20)",sgd,0.10877935132943306
432,0.1,"(5, 2, 2)",lbfgs,0.13443400406510453
433,0.1,"(5, 2, 2)",adam,0.133836264277574
434,0.1,"(5, 2, 2)",sgd,-5.476073812826776e-05
435,0.1,"(5, 2, 5)",lbfgs,0.14460705745877334
436,0.1,"(5, 2, 5)",adam,0.13201648794474397
437,0.1,"(5, 2, 5)",sgd,-0.00010829728343564327
438,0.1,"(5, 2, 10)",lbfgs,0.148432379916004
439,0.1,"(5, 2, 10)",adam,0.13227988678231273
440,0.1,"(5, 2, 10)",sgd,-7.030161253940292e-05
441,0.1,"(5, 2, 20)",lbfgs,0.13938809769182925
442,0.1,"(5, 2, 20)",adam,0.13607011077730147
443,0.1,"(5, 2, 20)",sgd,-0.000103848235107451
444,0.1,"(5, 5, 2)",lbfgs,0.14189745889686045
445,0.1,"(5, 5, 2)",adam,0.13471120192468367
446,0.1,"(5, 5, 2)",sgd,0.04534566041525656
